Gene;Entrez;GeneCards
AJUBA;NA;NA
BAALC;NA;NA
CBL;NA;NA
CCKBR;NA;NA
CCND3;NA;NA
CDC42;NA;NA
CHD8;NA;NA
CSK;NA;NA
G2E3;NA;NA
GNAS;NA;NA
GRK6;NA;NA
KDM1A;NA;NA
KDM4C;NA;NA
L3MBTL3;NA;NA
LHCGR;NA;NA
AJUBA;NA;NA
BAALC;NA;NA
AJUBA;NA;NA
BAALC;NA;NA
CBL;NA;NA
CCKBR;NA;NA
