"","Gene","norm.method","2D_2w_DMSO","2D_4w_DMSO","2D_4w_MRTX","3D_2w_DMSO","3D_2w_MRTX","3D_4w_DMSO","3D_4w_MRTX","T7_andrew","control","2D_2w_DMSO.wald.fdr","2D_4w_DMSO.wald.fdr","2D_4w_MRTX.wald.fdr","3D_2w_DMSO.wald.fdr","3D_2w_MRTX.wald.fdr","3D_4w_DMSO.wald.fdr","3D_4w_MRTX.wald.fdr","T7_andrew.wald.fdr","dependency"
"23","ACTR8","loess",-0.755871002869009,-0.588410601871926,-0.411462886404239,-0.515009302984471,-0.967570059499623,-0.300613012404512,-0.76870313396622,0,"",0.47646,0.38861,0.38964,0.95212,0.28517,0.81577,0.19778,NA,-0.693067815158964
"24","ACVR1","loess",-0.115299569412779,-0.141816848389684,-0.321106673341384,-0.160485977427967,-0.0813145288356313,-0.0386006016213605,-0.073340800971195,0,"",0.98715,0.93283,0.37615,0.99932,0.98753,0.92859,0.90215,NA,0.0277769328578864
"25","ACVR1B","loess",0.208189313418905,0.190699461250572,0.0405018882917428,-0.269537584870189,-0.278419579335869,-0.306373597707934,-0.411489901047228,0,"",0.94979,0.52583,0.76935,0.94062,0.885,0.60727,0.28817,NA,-0.0712429225863764
"26","ACVR1C","loess",0.562681916945511,-0.24125523479867,-0.0929448184166618,-0.143270224785334,0.00476837967118818,-0.233893911752798,0.192371193136765,0,"",0.90534,0.90422,0.99594,0.99932,0.99322,0.88793,0.75905,NA,0.00119683618832955
"27","ACVR2A","loess",0.359270314559524,0.245433658788587,-0.157836518888775,0.299904998425587,0.0926761907514187,0.00466017423228737,-0.194684817868629,0,"",0.92204,0.6041,0.94588,0.99932,0.99457,0.99069,0.83401,NA,-0.103145616016672
"28","ACVR2B","loess",0.262265721187255,0.317939558179733,0.173846629688328,0.140810608150522,0.049570942820716,-0.348006451243657,-0.337639008782898,0,"",0.98715,0.67126,0.70298,0.99932,0.99511,0.86487,0.73729,NA,0.0703202384413175
"29","ACVRL1","loess",0.226331164467745,-0.162482079086791,0.103429821348014,-0.100898184678999,-0.239989763179353,-0.134552168869363,0.129513209998747,0,"",0.94979,0.89457,0.60302,0.99932,0.9347,0.85842,0.68772,NA,0.0282365052014878
"30","ADA","loess",0.487964832005941,0.53571752106185,0.509761261642535,0.520018012189631,0.751291166382169,0.35957084835036,0.612626358367515,0,"",0.91559,0.28849,0.07469,0.99932,0.7387,0.83149,0.11414,NA,-0.0634358804331899
"31","ADCK1","loess",0.09339592402898,0.290728984181347,0.402960263361235,0.0520575701230722,0.168819886102166,-0.0303639437674733,0.0195073159706736,0,"",0.99608,0.45627,0.11688,0.99932,0.98753,0.93155,0.90671,NA,0.100948343398862
"32","ADCK2","loess",0.219221674509965,-0.272923641392745,0.230026815432686,0.0586442080648179,0.225682149792672,-0.0721314066422204,0.129670200234824,0,"",0.95951,0.69668,0.27909,0.99932,0.98753,0.90477,0.66398,NA,-0.0285495436902289
"33","ADCK3","loess",0.0985478871283221,0.111812180044337,0.375307648544631,-0.329334870061029,-0.412105248407437,-0.478807162572035,-0.476440434676789,0,"",0.99443,0.81064,0.30334,0.99932,0.88801,0.5585,0.38143,NA,NA
"34","ADCK4","loess",0.482764936371549,0.0201273578652073,0.169212956637319,0.386711864358563,0.123586705740874,0.237213550085175,0.0372446289413124,0,"",0.77735,0.88049,0.38153,0.99932,0.99322,0.86655,0.8324,NA,NA
"35","ADCK5","loess",0.477721083594582,-0.0193372541389292,0.609919370473051,0.326696517298139,0.300328985567685,0.371887679896829,0.297993617308643,0,"",0.91559,0.97174,0.073254,0.99932,0.98753,0.83682,0.48917,NA,-0.0186308287984997
"36","ADH1A","loess",0.10897048457345,0.192493703723739,0.3380749856095,0.326055860702967,0.0499982229596687,0.0242165130417325,-0.344559770611057,0,"",0.99443,0.64302,0.23114,0.99932,0.99333,0.99062,0.54387,NA,0.0127009322632875
"37","ADH1B","loess",0.46670772476578,0.232620574564334,-0.129831040175753,0.616375960834855,0.632418772295242,0.500806836478055,0.322425171237487,0,"",0.91281,0.62828,0.95622,0.99932,0.88454,0.68141,0.39698,NA,-0.0682117139639467
"38","ADK","loess",0.388138868548997,0.166956905549767,-0.325725619820924,0.113139589227422,0.262276415758638,0.316263789094824,0.121520051641277,0,"",0.97681,0.81115,0.79222,0.99932,0.98753,0.88899,0.82884,NA,-0.0687275918721308
"39","ADORA1","loess",-0.147460574344612,0.32514819890447,-0.903320754567242,-0.0821376989655467,-0.089194981782562,-0.0225857428424773,0.22624055359797,0,"",0.99443,0.57078,0.12483,0.99932,0.98753,0.97926,0.66691,NA,-0.090338173320575
"40","ADORA2A","loess",0.203302396239617,0.188252556341134,0.0862620095034217,0.0325433219741676,0.00802237774674357,-0.0980496446497516,-0.277804017155333,0,"",0.94979,0.48435,0.5414,0.99932,0.98753,0.87297,0.46946,NA,-0.0907684803911115
"41","ADORA2B","loess",0.734198183468758,0.651558816976183,0.562516403245091,0.807627069418804,0.836446993533249,0.489075204557437,0.327537328800479,0,"",0.81811,0.26233,0.084789,0.95323,0.76032,0.76084,0.39698,NA,0.0430639002430414
"42","ADPGK","loess",0.00375732902124145,0.104357214194725,-0.0171741982875902,0.0786296355727755,0.175240380584092,0.149285414394458,0.334724224520298,0,"",0.99928,0.78492,0.88385,0.99932,0.98753,0.93533,0.38865,NA,-0.0504710193248651
